Rang	Name	EWZ 1939	EWZ 1950	EWZ 1960	EWZ 1970	EWZ 1980	EWZ 1990	EWZ 2000	EWZ 2010	EWZ 2016	Fläche in km² (2016)	Ew./km² (2016)	Änd. [%](Vorjahr)	Großstadt erst­mals	Bun­des­land
33	Freiburg im Breisgau	108.487	109.717	141.637	163.568	175.106	191.029	205.102	224.191	227.590	153,06	1.487	+0,53	1934	Baden-Württemberg
34	Krefeld	170.205	171.875	211.479	222.666	223.969	244.020	239.916	235.076	226.812	137,77	1.646	+0,74	1888	Nordrhein-Westfalen
35	Lübeck	149.502	238.276	232.140	239.955	220.588	214.758	213.399	210.232	216.712	214,21	1.012	+0,21	1912	Schleswig-Holstein
36	Mainz	154.033	88.369	133.089	174.858	187.392	179.486	182.870	199.237	213.528	97,74	2.185	+1,79	1908	Rheinland-Pfalz
37	Oberhausen	191.829	202.808	258.626	246.199	228.947	223.840	222.151	212.945	211.382	77,09	2.742	+0,21	1914	Nordrhein-Westfalen
38	Erfurt	159.201	188.650	186.448	195.994	211.575	208.989	200.564	204.994	211.113	269,88	782	+0,47	1906	Thüringen
39	Rostock	118.048	133.109	158.630	198.636	232.506	248.088	200.506	202.735	207.513	181,26	1.145	+0,73	1935	Mecklenburg-Vorpommern
40	Kassel	211.624	162.132	206.354	214.785	195.912	194.268	194.766	195.530	199.062	106,78	1.864	+0,54	1899	Hessen
41	Hagen	151.481	146.401	195.500	201.042	218.927	214.449	203.151	188.526	188.266	160,45	1.173	−0,41	1928	Nordrhein-Westfalen
42	Saarbrücken	131.285	111.450	129.801	128.251	193.554	191.694	183.257	175.741	179.709	167,09	1.076	+0,87	1909	Saarland
43	Hamm	56.684	59.866	68.775	84.629	171.869	179.639	182.427	181.783	179.571	226,43	793	+0,10	1975	Nordrhein-Westfalen
44	Potsdam	126.241	118.180	115.004	111.336	130.900	139.794	129.324	156.906	171.810	188,61	911	+2,42	1939	Brandenburg
45	Mülheim an der Ruhr	136.828	149.589	183.979	192.183	181.279	177.681	172.862	167.344	170.936	91,28	1.873	+0,98	1908	Nordrhein-Westfalen
46	Ludwigshafen am Rhein	143.934	123.869	164.657	176.257	159.399	162.233	163.383	164.177	166.621	77,55	2.149	+1,16	1921	Rheinland-Pfalz
47	Oldenburg (Oldb)	74.141	122.809	122.337	131.545	136.764	143.131	154.832	162.173	165.711	102,99	1.609	+1,15	1946	Niedersachsen
48	Osnabrück	97.918	109.538	135.821	144.864	157.367	163.168	164.101	164.119	164.070	119,80	1.370	+1,03	1939	Niedersachsen
49	Leverkusen	49.927	65.531	93.940	107.626	160.825	160.919	161.047	160.772	163.113	78,87	2.068	−0,23	1963	Nordrhein-Westfalen
50	Heidelberg	84.273	116.488	127.595	121.398	133.227	136.796	140.259	147.312	159.914	108,84	1.469	+2,33	1946	Baden-Württemberg
51	Solingen	140.453	147.845	170.619	177.124	166.085	165.401	164.973	159.927	158.908	89,54	1.775	+0,11	1929	Nordrhein-Westfalen
52	Darmstadt1	110.552	94.788	138.736	141.847	138.201	138.920	138.242	144.402	157.437	122,09	1.290	+1,34	1937	Hessen
53	Herne	94.639	111.591	113.252	103.849	182.542	178.132	174.529	164.762	156.774	51,42	3.049	+0,59	1933	Nordrhein-Westfalen
54	Neuss	59.649	63.478	93.680	116.013	149.334	147.019	150.013	151.388	152.882	99,52	1.536	−1,63	1963	Nordrhein-Westfalen
55	Paderborn	39.955	40.270	52.773	68.207	110.155	120.680	139.084	146.283	148.677	179,59	828	+0,37	1975	Nordrhein-Westfalen
56	Regensburg	90.651	117.291	123.751	130.888	132.604	121.691	125.676	135.520	148.638	80,70	1.842	+2,18	1940	Bayern
57	Ingolstadt	31.370	40.523	52.540	70.594	90.490	105.489	115.722	125.088	133.639	133,37	1.002	+0,91	1989	Bayern
58	Würzburg	101.345	78.443	115.541	116.395	128.652	127.777	127.966	133.799	126.010	87,63	1.438	+0,91	1932	Bayern
59	Fürth1	78.838	99.890	98.615	94.415	99.088	103.362	110.477	114.628	125.403	63,35	1.980	+0,99	1950	Bayern
60	Offenbach am Main	85.128	89.030	115.051	118.841	110.993	114.992	117.535	120.435	124.589	44,89	2.775	+0,69	1954	Hessen
61	Ulm	68.585	71.132	90.383	93.158	100.671	110.529	117.233	122.801	123.953	118,69	1.044	+1,07	1980	Baden-Württemberg
62	Wolfsburg	6.797	25.422	62.577	90.115	125.935	128.510	121.805	121.451	123.909	204,09	607	−0,11	1972	Niedersachsen
63	Heilbronn	74.214	64.643	87.203	102.300	111.938	115.843	119.305	122.879	123.771	99,88	1.239	+0,98	1970	Baden-Württemberg
64	Pforzheim	78.320	54.143	81.373	91.104	106.500	112.944	117.156	119.781	123.493	98,00	1.260	+1,02	1975	Baden-Württemberg
65	Göttingen	49.668	78.680	77.785	109.892	129.656	121.831	124.132	121.060	119.177	116,89	1.020	+0,22	1964	Niedersachsen
66	Bottrop	83.381	93.268	111.246	106.225	114.571	118.936	120.611	116.771	117.409	100,61	1.167	+0,23	1953	Nordrhein-Westfalen
67	Reutlingen	37.421	45.735	66.659	79.705	95.456	103.687	110.650	112.484	115.006	87,06	1.321	+0,61	1988	Baden-Württemberg
68	Recklinghausen	86.302	104.791	130.405	125.369	119.418	125.060	124.785	118.365	114.003	66,50	1.714	−0,29	1949	Nordrhein-Westfalen
69	Koblenz	86.501	66.444	97.867	120.079	113.676	108.733	107.950	106.417	113.605	105,13	1.081	+0,91	1962	Rheinland-Pfalz
70	Bremer­haven, 10	110.982	114.070	141.017	142.919	138.728	130.446	120.822	113.366	113.034	93,82	1.205	−0,87	1939	Bremen
71	Bergisch Gladbach	23.286	32.681	41.409	50.228	101.472	104.037	105.693	105.723	111 341	83,09	1.340	−0,02	1977	Nordrhein-Westfalen
72	Remscheid	103.912	103.276	125.912	136.822	129.082	123.155	119.287	110.563	110.611	74,52	1.484	+1,02	1929	Nordrhein-Westfalen
73	Jena	68.377	80.309	81.190	88.130	103.718	102.518	99.893	105.129	110.321	114,76	961	+0,72	1975	Thüringen
74	Erlangen	33.471	50.011	68.569	85.061	101.845	102.440	100.778	105.629	110.238	76,95	1.433	+1,76	1974	Bayern
75	Trier	81.808	75.526	85.210	103.598	95.536	97.835	99.410	105.260	110.111	117,13	940	−4,18	1969	Rheinland-Pfalz
76	Moers	29.646	34.832	45.908	53.410	99.923	104.595	107.062	105.506	103.881	67,68	1.535	−0,62	1975	Nordrhein-Westfalen
77	Salzgitter, 11	45.598	100.667	108.872	119.031	113.600	114.355	112.302	102.394	103.668	223,92	463	+2,56	1942	Niedersachsen
78	Siegen	37.622	38.787	48.210	57.563	112.320	109.174	108.476	103.424	101.863	114,69	888	−0,48	1975	Nordrhein-Westfalen
79	Hildesheim	68.679	72.292	94.352	93.373	102.619	105.291	103.909	102.794	101.687	92,18	1.103	+0,02	1974	Niedersachsen
80	Cottbus	53.468	60.874	66.813	83.444	113.479	125.891	108.491	102.091	100.416	165,15	608	+0,73	1976	Brandenburg


Von meinem iPhone gesendet
